SNP,Chromosome,start
evm.model.chrA01.4134,1,32151705
evm.model.chrA01.3779,1,29296918
evm.model.chrA01.2235,1,15067204
evm.model.chrA01.3424,1,26744001
evm.model.chrA01.3428,1,96769185
evm.model.chrA02.4080,2,31354501
evm.model.chrA02.1286,2,7896819
evm.model.chrA02.1292,2,7940001
evm.model.chrA02.2749,2,21386921
evm.model.chrA03.7104,3,40537945
evm.model.chrA03.7106,3,40564247
evm.model.chrA03.5017,3,26815800
evm.model.chrA03.2047,3,11418585
evm.model.chrA03.3156,3,17195405
evm.model.chrA03.4217,3,22360699
evm.model.chrA04.3674,4,26046942
evm.model.chrA04.2320,4,17618261
evm.model.chrA04.2412,4,18233682
evm.model.chrA05.1143,5,6229501
evm.model.chrA05.6202,5,45206672
evm.model.chrA05.3469,5,23069799
evm.model.chrA05.6206,5,45215365
evm.model.chrA06.5840,6,50052545
evm.model.chrA06.5608,6,48871764
evm.model.chrA06.5611,6,48888044
evm.model.chrA06.5610,6,48887139
evm.model.chrA06.5614,6,48895996
evm.model.chrA06.6377,6,53161883
evm.model.chrA06.5627,6,48956695
evm.model.chrA06.5655,6,49079151
evm.model.chrA06.5799,6,49803866
evm.model.chrA06.5818,6,49893933
evm.model.chrA06.5844,6,50080925
evm.model.chrA06.5877,6,50271369
evm.model.chrA06.5906,6,50401831
evm.model.chrA06.5986,6,50958216
evm.model.chrA06.6055,6,51482807
evm.model.chrA06.6086,6,51697728
evm.model.chrA06.6164,6,52112993
evm.model.chrA06.6322,6,52885590
evm.model.chrA06.6330,6,52924971
evm.model.chrA06.6335,6,52954059
evm.model.chrA06.6395,6,53252436
evm.model.chrA06.6480,6,53753204
evm.model.chrA06.6495,6,53809804
evm.model.chrA06.6537,6,54020431
evm.model.chrA06.6543,6,54067317
evm.model.chrA06.6552,6,54095504
evm.model.chrA06.2006,6,14295501
evm.model.chrA06.2593,6,17332845
evm.model.chrA06.2899,6,19434695
evm.model.chrA06.5613,6,48895462
evm.model.chrA06.6104,6,51800601
evm.model.chrA06.2247,6,15453032
evm.model.chrA06.2249,6,15458476
evm.model.chrA06.6338,6,52973301
evm.model.chrA07.3102,7,21807182
evm.model.chrA07.1484,7,12124653
evm.model.chrA07.1485,7,12127802
evm.model.chrA07.1491,7,12155011
evm.model.chrA07.1983,7,15005828
evm.model.chrA07.1984,7,15010714
evm.model.chrA07.3046,7,21440645
evm.model.chrA07.104,7,749790
evm.model.chrA07.309,7,2200361
evm.model.chrA08.2996,8,22170001
evm.model.chrA08.1865,8,15993415
evm.model.chrA08.3789,8,26437009
evm.model.chrA08.8,8,41025
evm.model.chrA08.2490,8,19705748
evm.model.chrA08.2491,8,19711481
evm.model.chrA09.8067,9,61074001
evm.model.chrA09.1716,9,12475471
evm.model.chrA09.383,9,3711131
evm.model.chrA09.1743,9,12704581
evm.model.chrA09.5490,9,46116029
evm.model.chrA09.7543,9,58418105
evm.model.chrA09.23,9,142733
evm.model.chrA09.197,9,2398723
evm.model.chrA09.327,9,3422960
evm.model.chrA09.431,9,3994327
evm.model.chrA09.560,9,4916435
evm.model.chrA09.587,9,5114342
evm.model.chrA09.617,9,5273913
evm.model.chrA09.710,9,5758737
evm.model.chrA09.4948,9,43030213
evm.model.chrA09.7369,9,57396945
evm.model.chrA09.7397,9,57557756
evm.model.chrA09.7478,9,57973731
evm.model.chrA09.7553,9,58463832
evm.model.chrA09.7700,9,59263673
evm.model.chrA09.1092,9,7932972
evm.model.chrA09.1184,9,8717697
evm.model.chrA09.343,9,3499992
evm.model.chrA09.8330,9,62363815
evm.model.chrA09.8331,9,62368654
evm.model.chrC01.530,10,2943892
evm.model.chrC01.1765,10,11159538
evm.model.chrC01.194,10,1108501
evm.model.chrC01.4392,10,33720704
evm.model.chrC01.4397,10,33760125
evm.model.chrC02.1047,11,6345091
evm.model.chrC02.1345,11,8328538
evm.model.chrC02.1579,11,10274580
evm.model.chrC02.6831,11,61404515
evm.model.chrC02.7937,11,70987501
evm.model.chrC02.3636,11,31317311
evm.model.chrC02.3637,11,31319196
evm.model.chrC02.3638,11,31323590
evm.model.chrC02.3639,11,31327633
evm.model.chrC02.762,11,4649544
evm.model.chrC02.764,11,4657658
evm.model.chrC02.766,11,4665794
evm.model.chrC02.3921,11,33138501
evm.model.chrC02.3922,11,33141420
evm.model.chrC02.3923,11,33147692
evm.model.chrC02.6626,11,59787545
evm.model.chrC03.1744,12,9238330
evm.model.chrC03.4203,12,28468114
evm.model.chrC03.8565,12,70078756
evm.model.chrC03.8566,12,70080030
evm.model.chrC03.8567,12,70088224
evm.model.chrC03.10453,12,85909001
evm.model.chrC04.1815,13,13398029
evm.model.chrC04.1823,13,13437376
evm.model.chrC05.542,13,2798185
evm.model.chrC05.4418,13,35365010
evm.model.chrC05.4425,13,35470117
evm.model.chrC05.5813,13,47530529
evm.model.chrC05.7903,13,65816906
evm.model.chrC05.6678,13,57312541
evm.model.chrC07.4500,14,40515388
evm.model.chrC07.2326,14,21970001
evm.model.chrC07.2315,14,21792430
evm.model.chrC08.5838,14,47733562
evm.model.chrC09.158,15,1033067
evm.model.chrC09.1592,15,10736161
evm.model.chrC09.159,15,1034131
evm.model.chrC09.465,15,2638051
evm.model.chrC09.299,15,1840643
evm.model.chrC09.1280,15,8179089
evm.model.chrC09.1329,15,8496117
evm.model.chrC09.1414,15,9029911
evm.model.chrC09.1432,15,9219919
evm.model.chrC09.1487,15,9770858
evm.model.chrC09.234,15,1531593
evm.model.chrC09.413,15,2371936
evm.model.chrC09.485,15,2763542
evm.model.chrC09.531,15,2996243
evm.model.chrC09.765,15,4504430
evm.model.chrC09.785,15,4671470
evm.model.chrC09.823,15,4858192
evm.model.chrC09.899,15,5384339
evm.model.chrC09.2749,15,21100927
evm.model.chrC09.3040,15,23289533
evm.model.chrC09.7386,15,63800022
